,s-4,s-3,s-2,s-1,a,r
291,1,3,3,0,3,1.0
292,3,3,0,3,19,-1.0
293,3,0,3,19,4,1.0
294,0,3,19,4,0,0.0
295,3,19,4,0,10,-1.0
296,19,4,0,10,0,1.0
297,4,0,10,0,0,-1.0
298,0,10,0,0,8,1.0
299,10,0,0,8,1,1.0
300,0,0,8,1,0,-1.0
301,0,8,1,0,6,-1.0
302,8,1,0,6,9,1.0
303,1,0,6,9,1,0.0
304,0,6,9,1,0,-1.0
305,6,9,1,0,6,-1.0
306,9,1,0,6,0,-1.0
307,1,0,6,0,0,-1.0
308,0,6,0,0,19,0.0
309,6,0,0,19,6,1.0
310,0,0,19,6,0,1.0
311,0,19,6,0,7,0.0
312,19,6,0,7,0,0.0
313,6,0,7,0,0,-1.0
314,0,7,0,0,4,-1.0
315,7,0,0,4,0,0.0
316,0,0,4,0,0,-1.0
317,0,4,0,0,2,0.0
318,4,0,0,2,0,-1.0
319,0,0,2,0,1,0.0
320,0,2,0,1,2,0.0
321,2,0,1,2,0,-1.0
322,0,1,2,0,2,1.0
323,1,2,0,2,1,0.0
324,2,0,2,1,1,0.0
325,0,2,1,1,10,-1.0
326,2,1,1,10,14,1.0
327,1,1,10,14,1,0.0
328,1,10,14,1,4,-1.0
329,10,14,1,4,0,-1.0
330,14,1,4,0,5,-1.0
331,1,4,0,5,16,-1.0
332,4,0,5,16,2,1.0
333,0,5,16,2,1,0.0
334,5,16,2,1,2,0.0
335,16,2,1,2,11,0.0
336,2,1,2,11,4,-1.0
337,1,2,11,4,0,-1.0
338,2,11,4,0,19,0.0
339,11,4,0,19,0,-1.0
340,4,0,19,0,2,1.0
341,0,19,0,2,0,1.0
342,19,0,2,0,19,0.0
343,0,2,0,19,2,0.0
344,2,0,19,2,0,-1.0
345,0,19,2,0,3,1.0
346,19,2,0,3,9,1.0
347,2,0,3,9,1,0.0
348,0,3,9,1,1,0.0
349,3,9,1,1,0,-1.0
350,9,1,1,0,12,-1.0
351,1,1,0,12,3,-1.0
352,1,0,12,3,0,0.0
353,0,12,3,0,11,-1.0
354,12,3,0,11,12,-1.0
355,3,0,11,12,0,-1.0
356,0,11,12,0,4,0.0
357,11,12,0,4,0,-1.0
358,12,0,4,0,10,-1.0
359,0,4,0,10,10,-1.0
360,4,0,10,10,0,-1.0
361,0,10,10,0,3,1.0
362,10,10,0,3,0,-1.0
363,10,0,3,0,10,1.0
364,0,3,0,10,8,1.0
365,3,0,10,8,0,0.0
366,0,10,8,0,10,1.0
367,10,8,0,10,2,1.0
368,8,0,10,2,0,-1.0
369,0,10,2,0,5,-1.0
370,10,2,0,5,8,1.0
371,2,0,5,8,3,1.0
372,0,5,8,3,1,0.0
