,0,1,2,3,4
274,5,2,0,1,
275,2,0,1,1,
276,0,1,3,0,
277,1,3,3,1,
278,3,3,2,1,
279,3,2,1,0,
280,2,1,5,0,
281,1,5,2,0,
282,5,2,0,1,
283,2,0,1,0,
284,0,1,0,1,
285,1,0,0,1,
286,0,0,4,-1,
287,0,4,4,0,
288,4,4,0,0,
289,4,0,1,1,
290,0,1,1,1,
291,1,1,2,1,
292,1,2,1,1,
293,2,1,5,1,
294,1,5,1,0,
295,5,1,5,1,
296,1,5,2,1,
297,5,2,4,0,
298,2,4,3,0,
299,4,3,3,1,
300,model,episode,T,Num of Category,M(Batch)
