,s-2,s-1,a,r,none
389,0,0,5,0,
390,0,5,5,0,
391,5,5,3,0,
392,5,3,1,1,
393,3,1,2,0,
394,1,2,3,1,
395,2,3,5,0,
396,3,5,4,1,
397,5,4,5,1,
398,4,5,1,1,
399,5,1,3,-1,
400,1,3,4,-1,
401,3,4,3,0,
402,4,3,4,1,
403,3,4,4,0,
404,4,4,4,0,
405,4,4,5,1,
406,4,5,3,0,
407,5,3,1,0,
408,3,1,2,0,
409,1,2,2,0,
410,2,2,3,-1,
411,2,3,1,0,
412,3,1,4,-1,
413,1,4,1,0,
414,4,1,0,0,
415,1,0,4,-1,
416,0,4,4,0,
417,4,4,4,0,
418,4,4,5,-1,
419,4,5,1,1,
420,5,1,1,0,
421,1,1,1,1,
422,1,1,0,1,
423,1,0,2,1,
424,0,2,0,0,
425,2,0,2,0,
426,0,2,2,0,
427,2,2,5,-1,
428,2,5,0,1,
429,5,0,1,1,
430,0,1,0,0,
431,1,0,0,1,
432,0,0,3,1,
433,0,3,0,1,
434,3,0,2,1,
435,0,2,0,0,
436,2,0,0,0,
437,0,0,0,1,
438,0,0,2,1,
439,0,2,0,0,
440,2,0,0,1,
441,0,0,0,1,
442,0,0,1,0,
443,0,1,4,1,
444,1,4,4,0,
445,4,4,2,0,
446,4,2,5,-1,
447,2,5,1,1,
448,5,1,4,0,
449,1,4,4,0,
450,4,4,0,0,
451,4,0,2,0,
452,0,2,5,1,
453,2,5,0,0,
454,5,0,0,1,
455,0,0,0,1,
456,0,0,2,0,
457,0,2,2,0,
458,2,2,3,1,
459,2,3,1,0,
460,3,1,0,1,
461,1,0,0,1,
462,0,0,5,1,
463,0,5,5,0,
464,5,5,1,1,
465,5,1,4,1,
466,1,4,5,0,
467,4,5,0,0,
468,5,0,0,1,
469,0,0,0,0,
470,0,0,0,1,
471,0,0,3,1,
472,0,3,0,0,
473,3,0,1,0,
474,0,1,0,1,
475,1,0,2,1,
476,0,2,2,0,
477,2,2,5,-1,
478,2,5,4,-1,
479,5,4,0,1,
480,4,0,1,0,
481,0,1,1,1,
482,1,1,2,1,
483,1,2,2,0,
484,2,2,0,0,
485,2,0,1,0,
486,0,1,4,-1,
487,1,4,5,-1,
488,4,5,5,0,
489,5,5,0,0,
490,5,0,2,1,
491,0,2,4,-1,
492,2,4,0,1,
493,4,0,3,0,
494,0,3,0,1,
495,3,0,3,1,
496,0,3,0,1,
497,3,0,5,0,
498,0,5,1,0,
499,5,1,0,1,
500,1,0,0,1,
501,0,0,0,1,
502,0,0,0,1,
503,0,0,0,1,
504,0,0,3,0,
505,0,3,0,1,
506,3,0,5,1,
507,0,5,5,0,
508,5,5,1,0,
509,5,1,4,1,
510,1,4,2,1,
511,4,2,4,1,
512,2,4,0,0,
513,4,0,3,-1,
514,0,3,0,-1,
515,3,0,1,0,
516,0,1,2,1,
517,1,2,3,0,
518,2,3,4,1,
519,3,4,4,0,
520,4,4,3,0,
521,4,3,5,-1,
522,3,5,1,0,
523,5,1,5,-1,
524,1,5,0,0,
525,5,0,4,0,
526,0,4,5,1,
527,4,5,5,0,
528,5,5,0,1,
529,5,0,0,1,
530,0,0,3,1,
531,0,3,0,1,
532,3,0,3,0,
533,0,3,0,1,
534,3,0,2,1,
535,0,2,5,0,
536,2,5,0,1,
537,5,0,1,0,
538,0,1,2,1,
539,1,2,4,0,
540,2,4,0,0,
541,4,0,4,1,
542,0,4,0,0,
543,4,0,4,-1,
544,0,4,5,1,
545,4,5,1,1,
546,5,1,0,1,
547,1,0,0,1,
548,0,0,3,0,
549,0,3,0,0,
550,3,0,2,0,
551,0,2,4,0,
552,2,4,2,0,
553,4,2,0,1,
554,2,0,2,1,
555,0,2,4,0,
556,2,4,0,1,
557,4,0,2,1,
558,0,2,4,0,
559,2,4,0,1,
560,4,0,1,0,
561,0,1,2,0,
562,1,2,5,1,
563,2,5,0,1,
564,5,0,0,1,
565,0,0,3,1,
566,0,3,0,1,
567,3,0,0,1,
568,0,0,3,0,
569,0,3,4,0,
570,3,4,3,0,
571,4,3,3,0,
572,3,3,0,1,
573,3,0,4,0,
574,0,4,5,-1,
575,4,5,1,0,
576,5,1,0,0,
577,1,0,1,0,
578,0,1,3,1,
579,1,3,4,-1,
580,3,4,5,1,
581,4,5,0,1,
582,5,0,2,1,
583,0,2,5,0,
584,2,5,0,1,
585,5,0,2,1,
586,0,2,2,0,
587,2,2,2,0,
588,2,2,1,0,
589,2,1,3,0,
590,1,3,0,1,
591,3,0,0,1,
592,0,0,0,1,
593,0,0,3,0,
594,0,3,0,0,
595,3,0,4,1,
596,0,4,4,0,
597,4,4,3,0,
598,4,3,3,0,
599,3,3,0,1,
600,5,0,5,0,
601,0,5,4,0,
602,5,4,0,1,
