,s-5,s-4,s-3,s-2,s-1,a,r
371,30,17,0,0,3,0.0,1.0
372,17,0,0,3,0,11.0,1.0
373,0,0,3,0,11,0.0,0.0
374,0,3,0,11,0,0.0,0.0
375,3,0,11,0,0,0.0,1.0
376,0,11,0,0,0,0.0,1.0
377,11,0,0,0,0,0.0,1.0
378,0,0,0,0,0,0.0,1.0
379,0,0,0,0,0,65.0,0.0
380,0,0,0,0,65,0.0,1.0
381,0,0,0,65,0,0.0,1.0
382,0,0,65,0,0,0.0,1.0
383,0,65,0,0,0,0.0,1.0
384,65,0,0,0,0,0.0,1.0
385,0,0,0,0,0,54.0,0.0
386,0,0,0,0,54,0.0,0.0
387,0,0,0,54,0,0.0,1.0
388,0,0,54,0,0,0.0,1.0
389,0,54,0,0,0,38.0,1.0
390,54,0,0,0,38,0.0,0.0
391,0,0,0,38,0,31.0,1.0
392,0,0,38,0,31,0.0,0.0
393,0,38,0,31,0,0.0,1.0
394,38,0,31,0,0,0.0,0.0
395,0,31,0,0,0,0.0,1.0
396,31,0,0,0,0,0.0,1.0
397,0,0,0,0,0,0.0,1.0
398,0,0,0,0,0,17.0,0.0
399,0,0,0,0,17,59.0,0.0
400,0,0,0,17,59,0.0,0.0
401,0,0,17,59,0,0.0,1.0
402,0,17,59,0,0,0.0,1.0
403,17,59,0,0,0,0.0,1.0
404,59,0,0,0,0,0.0,1.0
405,0,0,0,0,0,22.0,1.0
406,0,0,0,0,22,0.0,0.0
407,0,0,0,22,0,0.0,0.0
408,0,0,22,0,0,31.0,1.0
409,0,22,0,0,31,0.0,0.0
410,22,0,0,31,0,0.0,1.0
411,0,0,31,0,0,0.0,1.0
412,0,31,0,0,0,67.0,0.0
413,31,0,0,0,67,0.0,1.0
414,0,0,0,67,0,0.0,1.0
415,0,0,67,0,0,36.0,0.0
416,0,67,0,0,36,31.0,1.0
417,67,0,0,36,31,79.0,0.0
418,0,0,36,31,79,0.0,0.0
419,0,36,31,79,0,32.0,0.0
420,36,31,79,0,32,0.0,1.0
421,31,79,0,32,0,0.0,1.0
422,79,0,32,0,0,40.0,0.0
423,0,32,0,0,40,75.0,0.0
424,32,0,0,40,75,0.0,1.0
425,0,0,40,75,0,0.0,1.0
426,0,40,75,0,0,0.0,1.0
427,40,75,0,0,0,0.0,1.0
428,75,0,0,0,0,0.0,1.0
429,0,0,0,0,0,0.0,1.0
430,0,0,0,0,0,0.0,1.0
431,0,0,0,0,0,0.0,1.0
432,0,0,0,0,0,43.0,1.0
433,0,0,0,0,43,0.0,1.0
434,0,0,0,43,0,0.0,1.0
435,0,0,43,0,0,0.0,1.0
436,0,43,0,0,0,46.0,-1.0
437,43,0,0,0,46,0.0,0.0
438,0,0,0,46,0,0.0,1.0
439,0,0,46,0,0,0.0,1.0
440,0,46,0,0,0,0.0,1.0
