,s-3,s-2,s-1,a,r
555,2,9,5,9,1
556,9,5,9,6,-1
557,5,9,6,5,-1
558,9,6,5,1,0
559,6,5,1,0,0
560,5,1,0,7,0
561,1,0,7,8,1
562,0,7,8,6,0
563,7,8,6,9,1
564,8,6,9,2,1
565,6,9,2,6,-1
566,9,2,6,7,1
567,2,6,7,8,1
568,6,7,8,2,1
569,7,8,2,2,0
570,8,2,2,2,1
571,2,2,2,7,1
572,2,2,7,6,-1
573,2,7,6,1,-1
574,7,6,1,3,0
575,6,1,3,9,1
576,1,3,9,2,1
577,3,9,2,5,-1
578,9,2,5,5,-1
579,2,5,5,5,-1
580,5,5,5,9,1
581,5,5,9,3,0
582,5,9,3,9,-1
583,9,3,9,9,0
584,3,9,9,6,0
585,9,9,6,5,-1
586,9,6,5,7,1
587,6,5,7,7,0
588,5,7,7,8,1
589,7,7,8,6,0
590,7,8,6,6,-1
591,8,6,6,7,-1
592,6,6,7,3,1
593,6,7,3,8,1
594,7,3,8,6,1
595,3,8,6,4,-1
596,8,6,4,6,-1
597,6,4,6,7,0
598,4,6,7,3,0
599,6,7,3,2,1
600,7,3,2,3,1
601,3,2,3,8,-1
602,2,3,8,7,0
603,3,8,7,4,-1
604,8,7,4,9,-1
605,7,4,9,4,-1
606,4,9,4,7,1
607,9,4,7,2,0
608,4,7,2,4,-1
609,7,2,4,6,1
610,2,4,6,8,1
611,4,6,8,4,-1
612,6,8,4,7,-1
613,8,4,7,7,0
614,4,7,7,4,-1
615,7,7,4,5,-1
616,7,4,5,1,0
617,4,5,1,9,1
618,5,1,9,3,1
619,1,9,3,5,1
620,9,3,5,4,1
621,3,5,4,9,1
622,5,4,9,2,1
623,4,9,2,2,-1
624,9,2,2,7,-1
625,2,2,7,8,1
626,2,7,8,5,-1
627,7,8,5,9,-1
628,8,5,9,7,-1
629,5,9,7,3,-1
630,9,7,3,2,1
631,7,3,2,0,-1
632,3,2,0,7,0
633,2,0,7,2,1
634,0,7,2,0,0
635,7,2,0,8,1
636,2,0,8,5,-1
637,0,8,5,3,1
638,8,5,3,0,1
639,5,3,0,0,0
640,3,0,0,5,0
641,0,0,5,6,-1
642,0,5,6,0,-1
643,5,6,0,7,0
644,6,0,7,0,-1
645,0,7,0,7,-1
646,7,0,7,8,-1
647,0,7,8,7,0
