,s-5,s-4,s-3,s-2,s-1,a,r
180,39,39,39,39,5,18.0,-1.0
181,39,39,39,5,18,15.0,1.0
182,39,39,5,18,15,39.0,1.0
183,39,5,18,15,39,34.0,-1.0
184,5,18,15,39,34,10.0,1.0
185,18,15,39,34,10,14.0,1.0
186,15,39,34,10,14,9.0,1.0
187,39,34,10,14,9,32.0,0.0
188,34,10,14,9,32,15.0,1.0
189,10,14,9,32,15,11.0,0.0
190,14,9,32,15,11,11.0,0.0
191,9,32,15,11,11,6.0,0.0
192,32,15,11,11,6,0.0,-1.0
193,15,11,11,6,0,10.0,-1.0
194,11,11,6,0,10,3.0,0.0
195,11,6,0,10,3,10.0,1.0
196,6,0,10,3,10,5.0,1.0
197,0,10,3,10,5,17.0,1.0
198,10,3,10,5,17,0.0,-1.0
199,3,10,5,17,0,8.0,1.0
200,10,5,17,0,8,6.0,-1.0
201,5,17,0,8,6,15.0,1.0
202,17,0,8,6,15,8.0,-1.0
203,0,8,6,15,8,4.0,1.0
204,8,6,15,8,4,7.0,0.0
205,6,15,8,4,7,1.0,0.0
206,15,8,4,7,1,11.0,-1.0
207,8,4,7,1,11,2.0,-1.0
208,4,7,1,11,2,5.0,1.0
209,7,1,11,2,5,3.0,1.0
210,1,11,2,5,3,7.0,0.0
211,11,2,5,3,7,8.0,0.0
212,2,5,3,7,8,5.0,1.0
213,5,3,7,8,5,6.0,-1.0
214,3,7,8,5,6,5.0,1.0
215,7,8,5,6,5,7.0,-1.0
216,8,5,6,5,7,7.0,0.0
217,5,6,5,7,7,5.0,1.0
218,6,5,7,7,5,7.0,0.0
219,5,7,7,5,7,4.0,-1.0
220,7,7,5,7,4,30.0,-1.0
221,7,5,7,4,30,15.0,0.0
222,5,7,4,30,15,6.0,0.0
223,7,4,30,15,6,4.0,0.0
224,4,30,15,6,4,13.0,0.0
225,30,15,6,4,13,13.0,0.0
226,15,6,4,13,13,7.0,-1.0
227,6,4,13,13,7,3.0,-1.0
228,4,13,13,7,3,1.0,0.0
229,13,13,7,3,1,6.0,-1.0
230,13,7,3,1,6,4.0,-1.0
231,7,3,1,6,4,7.0,0.0
232,3,1,6,4,7,1.0,0.0
233,1,6,4,7,1,19.0,1.0
234,6,4,7,1,19,4.0,-1.0
235,4,7,1,19,4,6.0,0.0
236,7,1,19,4,6,3.0,1.0
237,1,19,4,6,3,18.0,-1.0
238,19,4,6,3,18,10.0,1.0
239,4,6,3,18,10,5.0,1.0
240,6,3,18,10,5,3.0,-1.0
241,3,18,10,5,3,29.0,1.0
242,18,10,5,3,29,14.0,0.0
243,10,5,3,29,14,11.0,1.0
244,5,3,29,14,11,31.0,1.0
245,3,29,14,11,31,39.0,1.0
246,29,14,11,31,39,19.0,0.0
247,14,11,31,39,19,36.0,0.0
248,11,31,39,19,36,39.0,1.0
249,31,39,19,36,39,14.0,1.0
250,39,19,36,39,14,30.0,-1.0
251,19,36,39,14,30,4.0,-1.0
252,36,39,14,30,4,13.0,0.0
253,39,14,30,4,13,29.0,1.0
254,14,30,4,13,29,5.0,-1.0
255,30,4,13,29,5,24.0,-1.0
256,4,13,29,5,24,1.0,0.0
257,13,29,5,24,1,7.0,-1.0
258,29,5,24,1,7,10.0,1.0
259,5,24,1,7,10,33.0,1.0
260,24,1,7,10,33,14.0,1.0
261,1,7,10,33,14,25.0,0.0
262,7,10,33,14,25,4.0,1.0
263,10,33,14,25,4,11.0,1.0
264,33,14,25,4,11,17.0,1.0
265,14,25,4,11,17,39.0,1.0
266,25,4,11,17,39,12.0,1.0
267,4,11,17,39,12,14.0,-1.0
268,11,17,39,12,14,27.0,0.0
269,17,39,12,14,27,39.0,1.0
270,39,12,14,27,39,18.0,0.0
271,12,14,27,39,18,39.0,-1.0
272,14,27,39,18,39,0.0,0.0
273,27,39,18,39,0,24.0,-1.0
274,39,18,39,0,24,8.0,1.0
275,18,39,0,24,8,30.0,-1.0
276,39,0,24,8,30,27.0,-1.0
277,0,24,8,30,27,23.0,1.0
278,24,8,30,27,23,5.0,1.0
279,8,30,27,23,5,39.0,1.0
280,30,27,23,5,39,10.0,1.0
281,27,23,5,39,10,29.0,1.0
282,23,5,39,10,29,6.0,0.0
283,5,39,10,29,6,9.0,1.0
284,39,10,29,6,9,25.0,0.0
285,10,29,6,9,25,20.0,-1.0
286,29,6,9,25,20,21.0,-1.0
287,6,9,25,20,21,14.0,-1.0
288,9,25,20,21,14,4.0,1.0
289,25,20,21,14,4,22.0,1.0
290,20,21,14,4,22,5.0,1.0
291,21,14,4,22,5,21.0,0.0
292,14,4,22,5,21,3.0,1.0
293,4,22,5,21,3,7.0,0.0
294,22,5,21,3,7,14.0,0.0
295,5,21,3,7,14,16.0,1.0
296,21,3,7,14,16,15.0,1.0
297,3,7,14,16,15,0.0,1.0
298,7,14,16,15,0,7.0,0.0
299,14,16,15,0,7,5.0,1.0
300,16,15,0,7,5,7.0,0.0
301,15,0,7,5,7,6.0,-1.0
302,0,7,5,7,6,0.0,-1.0
303,7,5,7,6,0,4.0,1.0
304,5,7,6,0,4,29.0,1.0
305,7,6,0,4,29,37.0,0.0
306,6,0,4,29,37,37.0,0.0
307,0,4,29,37,37,0.0,-1.0
308,4,29,37,37,0,3.0,1.0
309,29,37,37,0,3,4.0,1.0
310,37,37,0,3,4,0.0,-1.0
311,37,0,3,4,0,25.0,0.0
312,0,3,4,0,25,26.0,1.0
313,3,4,0,25,26,32.0,0.0
314,4,0,25,26,32,19.0,1.0
315,0,25,26,32,19,0.0,-1.0
316,25,26,32,19,0,14.0,0.0
317,26,32,19,0,14,6.0,0.0
318,32,19,0,14,6,24.0,-1.0
319,19,0,14,6,24,3.0,1.0
320,0,14,6,24,3,1.0,0.0
321,14,6,24,3,1,27.0,-1.0
322,6,24,3,1,27,38.0,1.0
323,24,3,1,27,38,29.0,1.0
324,3,1,27,38,29,39.0,1.0
325,1,27,38,29,39,0.0,-1.0
326,27,38,29,39,0,20.0,0.0
327,38,29,39,0,20,33.0,-1.0
328,29,39,0,20,33,39.0,1.0
329,39,0,20,33,39,12.0,-1.0
330,0,20,33,39,12,0.0,0.0
331,20,33,39,12,0,0.0,-1.0
332,33,39,12,0,0,39.0,1.0
333,39,12,0,0,39,12.0,-1.0
334,12,0,0,39,12,16.0,1.0
335,0,0,39,12,16,6.0,-1.0
336,0,39,12,16,6,1.0,0.0
337,39,12,16,6,1,22.0,-1.0
338,12,16,6,1,22,6.0,1.0
339,16,6,1,22,6,14.0,0.0
340,6,1,22,6,14,5.0,1.0
341,1,22,6,14,5,21.0,-1.0
342,22,6,14,5,21,5.0,0.0
343,6,14,5,21,5,5.0,-1.0
344,14,5,21,5,5,1.0,0.0
345,5,21,5,5,1,6.0,-1.0
346,21,5,5,1,6,10.0,1.0
347,5,5,1,6,10,6.0,-1.0
348,5,1,6,10,6,1.0,0.0
349,1,6,10,6,1,0.0,0.0
350,6,10,6,1,0,1.0,1.0
351,10,6,1,0,1,6.0,-1.0
352,6,1,0,1,6,18.0,0.0
353,1,0,1,6,18,21.0,-1.0
354,0,1,6,18,21,17.0,1.0
355,1,6,18,21,17,1.0,-1.0
356,6,18,21,17,1,0.0,-1.0
357,18,21,17,1,0,11.0,1.0
358,21,17,1,0,11,4.0,1.0
359,17,1,0,11,4,13.0,0.0
360,1,0,11,4,13,1.0,0.0
361,0,11,4,13,1,13.0,-1.0
362,11,4,13,1,13,2.0,-1.0
363,4,13,1,13,2,4.0,1.0
364,13,1,13,2,4,2.0,-1.0
365,1,13,2,4,2,21.0,1.0
366,13,2,4,2,21,19.0,0.0
367,2,4,2,21,19,16.0,1.0
368,4,2,21,19,16,7.0,-1.0
369,2,21,19,16,7,0.0,-1.0
370,21,19,16,7,0,25.0,0.0
371,19,16,7,0,25,28.0,1.0
372,16,7,0,25,28,0.0,-1.0
373,7,0,25,28,0,4.0,1.0
374,0,25,28,0,4,6.0,-1.0
375,25,28,0,4,6,13.0,-1.0
376,28,0,4,6,13,14.0,1.0
377,0,4,6,13,14,0.0,0.0
378,4,6,13,14,0,0.0,-1.0
379,6,13,14,0,0,0.0,-1.0
380,13,14,0,0,0,10.0,-1.0
381,14,0,0,0,10,9.0,0.0
382,0,0,0,10,9,10.0,-1.0
383,0,0,10,9,10,6.0,0.0
384,0,10,9,10,6,0.0,-1.0
385,10,9,10,6,0,3.0,1.0
386,9,10,6,0,3,19.0,-1.0
387,10,6,0,3,19,12.0,0.0
388,6,0,3,19,12,1.0,0.0
389,0,3,19,12,1,11.0,-1.0
390,3,19,12,1,11,0.0,-1.0
391,19,12,1,11,0,36.0,1.0
392,12,1,11,0,36,3.0,1.0
393,1,11,0,36,3,9.0,1.0
394,11,0,36,3,9,0.0,-1.0
395,0,36,3,9,0,29.0,1.0
396,36,3,9,0,29,38.0,1.0
397,3,9,0,29,38,26.0,0.0
398,9,0,29,38,26,9.0,0.0
399,0,29,38,26,9,0.0,-1.0
400,29,38,26,9,0,0.0,-1.0
401,38,26,9,0,0,11.0,1.0
402,26,9,0,0,11,14.0,-1.0
403,9,0,0,11,14,3.0,1.0
404,0,0,11,14,3,24.0,-1.0
405,0,11,14,3,24,8.0,-1.0
406,11,14,3,24,8,3.0,1.0
407,14,3,24,8,3,0.0,-1.0
408,3,24,8,3,0,5.0,-1.0
409,24,8,3,0,5,7.0,0.0
410,8,3,0,5,7,2.0,0.0
411,3,0,5,7,2,2.0,1.0
412,0,5,7,2,2,6.0,-1.0
413,5,7,2,2,6,1.0,0.0
414,7,2,2,6,1,27.0,1.0
415,2,2,6,1,27,5.0,-1.0
416,2,6,1,27,5,4.0,1.0
417,6,1,27,5,4,22.0,1.0
418,1,27,5,4,22,4.0,-1.0
419,27,5,4,22,4,12.0,-1.0
420,5,4,22,4,12,19.0,1.0
421,4,22,4,12,19,6.0,-1.0
422,22,4,12,19,6,5.0,1.0
423,4,12,19,6,5,19.0,0.0
424,12,19,6,5,19,1.0,-1.0
425,19,6,5,19,1,0.0,-1.0
426,6,5,19,1,0,11.0,-1.0
427,5,19,1,0,11,7.0,0.0
428,19,1,0,11,7,7.0,0.0
429,1,0,11,7,7,6.0,-1.0
430,0,11,7,7,6,13.0,0.0
431,11,7,7,6,13,0.0,-1.0
432,7,7,6,13,0,39.0,1.0
433,7,6,13,0,39,7.0,-1.0
434,6,13,0,39,7,5.0,1.0
435,13,0,39,7,5,31.0,-1.0
436,0,39,7,5,31,38.0,1.0
437,39,7,5,31,38,5.0,1.0
438,7,5,31,38,5,24.0,1.0
439,5,31,38,5,24,0.0,-1.0
440,31,38,5,24,0,5.0,-1.0
441,38,5,24,0,5,1.0,0.0
442,5,24,0,5,1,21.0,1.0
443,24,0,5,1,21,23.0,1.0
444,0,5,1,21,23,6.0,0.0
445,5,1,21,23,6,16.0,1.0
446,1,21,23,6,16,35.0,0.0
447,21,23,6,16,35,3.0,-1.0
448,23,6,16,35,3,7.0,-1.0
449,6,16,35,3,7,37.0,0.0
450,16,35,3,7,37,33.0,1.0
451,35,3,7,37,33,3.0,1.0
452,3,7,37,33,3,32.0,-1.0
453,7,37,33,3,32,0.0,-1.0
454,37,33,3,32,0,11.0,1.0
455,33,3,32,0,11,17.0,1.0
456,3,32,0,11,17,16.0,1.0
457,32,0,11,17,16,4.0,-1.0
458,0,11,17,16,4,19.0,0.0
459,11,17,16,4,19,18.0,1.0
460,17,16,4,19,18,2.0,-1.0
461,16,4,19,18,2,4.0,1.0
462,4,19,18,2,4,20.0,1.0
463,19,18,2,4,20,3.0,1.0
464,18,2,4,20,3,38.0,1.0
465,2,4,20,3,38,22.0,1.0
466,4,20,3,38,22,9.0,1.0
467,20,3,38,22,9,14.0,1.0
468,3,38,22,9,14,30.0,-1.0
469,38,22,9,14,30,34.0,-1.0
470,22,9,14,30,34,9.0,-1.0
471,9,14,30,34,9,5.0,1.0
472,14,30,34,9,5,22.0,1.0
473,30,34,9,5,22,1.0,-1.0
474,34,9,5,22,1,13.0,0.0
475,9,5,22,1,13,21.0,1.0
476,5,22,1,13,21,18.0,1.0
477,22,1,13,21,18,3.0,1.0
478,1,13,21,18,3,10.0,1.0
479,13,21,18,3,10,22.0,-1.0
480,21,18,3,10,22,32.0,0.0
481,18,3,10,22,32,2.0,-1.0
482,3,10,22,32,2,14.0,1.0
483,10,22,32,2,14,28.0,-1.0
484,22,32,2,14,28,4.0,0.0
485,32,2,14,28,4,10.0,1.0
486,2,14,28,4,10,35.0,1.0
487,14,28,4,10,35,25.0,0.0
488,28,4,10,35,25,2.0,1.0
489,4,10,35,25,2,27.0,-1.0
490,10,35,25,2,27,38.0,-1.0
491,35,25,2,27,38,5.0,0.0
492,25,2,27,38,5,4.0,1.0
493,2,27,38,5,4,26.0,-1.0
494,27,38,5,4,26,12.0,-1.0
495,38,5,4,26,12,12.0,1.0
496,5,4,26,12,12,19.0,0.0
497,4,26,12,12,19,20.0,1.0
498,26,12,12,19,20,0.0,0.0
499,12,12,19,20,0,5.0,1.0
500,12,19,20,0,5,18.0,1.0
501,19,20,0,5,18,4.0,1.0
502,20,0,5,18,4,8.0,1.0
503,0,5,18,4,8,19.0,0.0
504,5,18,4,8,19,13.0,1.0
505,18,4,8,19,13,1.0,0.0
506,4,8,19,13,1,13.0,1.0
507,8,19,13,1,13,16.0,-1.0
508,19,13,1,13,16,3.0,1.0
509,13,1,13,16,3,2.0,1.0
510,1,13,16,3,2,4.0,0.0
511,13,16,3,2,4,1.0,0.0
512,16,3,2,4,1,10.0,1.0
513,3,2,4,1,10,6.0,-1.0
514,2,4,1,10,6,1.0,0.0
515,4,1,10,6,1,2.0,1.0
516,1,10,6,1,2,6.0,-1.0
517,10,6,1,2,6,2.0,0.0
518,6,1,2,6,2,2.0,-1.0
519,1,2,6,2,2,4.0,1.0
520,2,6,2,2,4,3.0,0.0
521,6,2,2,4,3,25.0,0.0
522,2,2,4,3,25,12.0,-1.0
523,2,4,3,25,12,1.0,-1.0
524,4,3,25,12,1,11.0,1.0
525,3,25,12,1,11,20.0,1.0
526,25,12,1,11,20,4.0,1.0
527,12,1,11,20,4,17.0,1.0
528,1,11,20,4,17,24.0,1.0
529,11,20,4,17,24,11.0,1.0
530,20,4,17,24,11,0.0,0.0
531,4,17,24,11,0,39.0,1.0
532,17,24,11,0,39,10.0,1.0
533,24,11,0,39,10,10.0,-1.0
534,11,0,39,10,10,18.0,-1.0
535,0,39,10,10,18,20.0,-1.0
536,39,10,10,18,20,3.0,-1.0
537,10,10,18,20,3,0.0,-1.0
538,10,18,20,3,0,6.0,-1.0
539,18,20,3,0,6,38.0,-1.0
540,20,3,0,6,38,23.0,1.0
541,3,0,6,38,23,10.0,-1.0
542,0,6,38,23,10,18.0,-1.0
543,6,38,23,10,18,25.0,0.0
544,38,23,10,18,25,1.0,0.0
545,23,10,18,25,1,4.0,1.0
546,10,18,25,1,4,15.0,1.0
547,18,25,1,4,15,15.0,-1.0
548,25,1,4,15,15,28.0,1.0
549,1,4,15,15,28,20.0,-1.0
550,4,15,15,28,20,1.0,0.0
551,15,15,28,20,1,6.0,-1.0
552,15,28,20,1,6,8.0,0.0
553,28,20,1,6,8,3.0,1.0
554,20,1,6,8,3,5.0,1.0
555,1,6,8,3,5,11.0,1.0
556,6,8,3,5,11,10.0,1.0
557,8,3,5,11,10,13.0,0.0
558,3,5,11,10,13,15.0,1.0
559,5,11,10,13,15,16.0,0.0
560,11,10,13,15,16,13.0,0.0
561,10,13,15,16,13,13.0,-1.0
562,13,15,16,13,13,14.0,1.0
563,15,16,13,13,14,12.0,-1.0
564,16,13,13,14,12,9.0,1.0
565,13,13,14,12,9,10.0,-1.0
566,13,14,12,9,10,19.0,1.0
567,14,12,9,10,19,15.0,1.0
568,12,9,10,19,15,8.0,-1.0
569,9,10,19,15,8,11.0,1.0
570,10,19,15,8,11,19.0,1.0
571,19,15,8,11,19,13.0,-1.0
572,15,8,11,19,13,6.0,0.0
573,8,11,19,13,6,13.0,-1.0
574,11,19,13,6,13,19.0,0.0
575,19,13,6,13,19,9.0,1.0
576,13,6,13,19,9,4.0,-1.0
577,6,13,19,9,4,15.0,0.0
578,13,19,9,4,15,27.0,-1.0
579,19,9,4,15,27,12.0,-1.0
580,9,4,15,27,12,7.0,0.0
581,4,15,27,12,7,23.0,-1.0
582,15,27,12,7,23,26.0,1.0
583,27,12,7,23,26,7.0,0.0
584,12,7,23,26,7,8.0,-1.0
585,7,23,26,7,8,25.0,1.0
586,23,26,7,8,25,17.0,1.0
587,26,7,8,25,17,11.0,1.0
588,7,8,25,17,11,17.0,1.0
589,8,25,17,11,17,25.0,0.0
590,25,17,11,17,25,39.0,1.0
591,17,11,17,25,39,22.0,1.0
592,11,17,25,39,22,18.0,-1.0
593,17,25,39,22,18,28.0,-1.0
594,25,39,22,18,28,32.0,-1.0
595,39,22,18,28,32,5.0,1.0
596,22,18,28,32,5,1.0,-1.0
597,18,28,32,5,1,33.0,0.0
598,28,32,5,1,33,26.0,1.0
599,32,5,1,33,26,13.0,0.0
600,5,1,33,26,13,21.0,0.0
601,1,33,26,13,21,33.0,1.0
602,33,26,13,21,33,12.0,-1.0
603,26,13,21,33,12,1.0,0.0
604,13,21,33,12,1,16.0,1.0
605,21,33,12,1,16,12.0,-1.0
606,33,12,1,16,12,1.0,0.0
607,12,1,16,12,1,2.0,-1.0
608,1,16,12,1,2,11.0,-1.0
609,16,12,1,2,11,2.0,1.0
610,12,1,2,11,2,5.0,1.0
611,1,2,11,2,5,12.0,1.0
612,2,11,2,5,12,30.0,-1.0
613,11,2,5,12,30,19.0,0.0
614,2,5,12,30,19,23.0,1.0
615,5,12,30,19,23,39.0,1.0
616,12,30,19,23,39,0.0,-1.0
617,30,19,23,39,0,10.0,1.0
618,19,23,39,0,10,35.0,1.0
619,23,39,0,10,35,29.0,-1.0
620,39,0,10,35,29,9.0,1.0
621,0,10,35,29,9,29.0,-1.0
622,10,35,29,9,29,39.0,1.0
623,35,29,9,29,39,24.0,-1.0
624,29,9,29,39,24,24.0,1.0
625,9,29,39,24,24,33.0,0.0
626,29,39,24,24,33,24.0,-1.0
627,39,24,24,33,24,13.0,0.0
628,24,24,33,24,13,18.0,0.0
629,24,33,24,13,18,18.0,-1.0
630,33,24,13,18,18,16.0,-1.0
631,24,13,18,18,16,18.0,-1.0
632,13,18,18,16,18,24.0,-1.0
633,18,18,16,18,24,25.0,0.0
634,18,16,18,24,25,5.0,1.0
635,16,18,24,25,5,14.0,0.0
636,18,24,25,5,14,22.0,1.0
637,24,25,5,14,22,11.0,1.0
638,25,5,14,22,11,5.0,1.0
639,5,14,22,11,5,18.0,0.0
640,14,22,11,5,18,15.0,1.0
641,22,11,5,18,15,4.0,1.0
642,11,5,18,15,4,10.0,1.0
643,5,18,15,4,10,16.0,1.0
644,18,15,4,10,16,6.0,-1.0
645,15,4,10,16,6,3.0,1.0
646,4,10,16,6,3,12.0,0.0
647,10,16,6,3,12,9.0,1.0
648,16,6,3,12,9,34.0,-1.0
649,6,3,12,9,34,24.0,-1.0
650,3,12,9,34,24,22.0,1.0
651,12,9,34,24,22,0.0,1.0
652,9,34,24,22,0,20.0,0.0
653,34,24,22,0,20,17.0,1.0
654,24,22,0,20,17,4.0,1.0
655,22,0,20,17,4,6.0,1.0
656,0,20,17,4,6,1.0,-1.0
657,20,17,4,6,1,3.0,1.0
658,17,4,6,1,3,20.0,1.0
659,4,6,1,3,20,12.0,-1.0
660,6,1,3,20,12,10.0,1.0
661,1,3,20,12,10,38.0,1.0
662,3,20,12,10,38,31.0,0.0
663,20,12,10,38,31,15.0,1.0
664,12,10,38,31,15,29.0,1.0
665,10,38,31,15,29,0.0,-1.0
666,38,31,15,29,0,6.0,0.0
667,31,15,29,0,6,11.0,1.0
668,15,29,0,6,11,13.0,1.0
669,29,0,6,11,13,5.0,1.0
670,0,6,11,13,5,13.0,0.0
671,6,11,13,5,13,17.0,1.0
672,11,13,5,13,17,11.0,1.0
673,13,5,13,17,11,10.0,-1.0
674,5,13,17,11,10,15.0,1.0
675,13,17,11,10,15,10.0,1.0
676,17,11,10,15,10,3.0,1.0
677,11,10,15,10,3,7.0,0.0
678,10,15,10,3,7,7.0,1.0
679,15,10,3,7,7,1.0,0.0
680,10,3,7,7,1,1.0,-1.0
681,3,7,7,1,1,5.0,1.0
682,7,7,1,1,5,36.0,-1.0
683,7,1,1,5,36,14.0,0.0
684,1,1,5,36,14,39.0,0.0
