,s-2,s-1,a,r,none
391,3,4,5,-1,
392,4,5,1,0,
393,5,1,2,0,
394,1,2,3,1,
395,2,3,2,1,
396,3,2,2,-1,
397,2,2,3,1,
398,2,3,5,-1,
399,3,5,3,1,
400,5,3,1,1,
401,3,1,0,-1,
402,1,0,2,-1,
403,0,2,4,-1,
404,2,4,1,0,
405,4,1,3,1,
406,1,3,3,1,
407,3,3,1,0,
408,3,1,3,1,
409,1,3,2,1,
410,3,2,2,0,
411,2,2,2,1,
412,2,2,1,0,
413,2,1,3,1,
414,1,3,1,0,
415,3,1,5,-1,
416,1,5,3,1,
417,5,3,3,-1,
418,3,3,4,-1,
419,3,4,1,0,
420,4,1,0,-1,
421,1,0,2,0,
422,0,2,4,-1,
423,2,4,2,0,
424,4,2,4,1,
425,2,4,0,-1,
426,4,0,3,1,
427,0,3,3,1,
428,3,3,1,0,
429,3,1,4,-1,
430,1,4,2,1,
431,4,2,3,1,
432,2,3,3,1,
433,3,3,1,0,
434,3,1,3,0,
435,1,3,2,1,
436,3,2,3,1,
437,2,3,1,-1,
438,3,1,2,1,
439,1,2,1,0,
440,2,1,3,1,
441,1,3,2,1,
442,3,2,1,0,
443,2,1,3,1,
444,1,3,1,-1,
445,3,1,2,1,
446,1,2,4,-1,
447,2,4,3,1,
448,4,3,3,0,
449,3,3,0,-1,
450,3,0,3,-1,
451,0,3,5,-1,
452,3,5,4,0,
453,5,4,0,-1,
454,4,0,4,-1,
455,0,4,1,-1,
456,4,1,3,1,
457,1,3,2,0,
458,3,2,1,0,
459,2,1,1,0,
460,1,1,2,1,
461,1,2,2,1,
462,2,2,2,0,
463,2,2,4,-1,
464,2,4,3,1,
465,4,3,5,-1,
466,3,5,4,-1,
467,5,4,5,-1,
468,4,5,0,-1,
469,5,0,4,-1,
470,0,4,4,-1,
471,4,4,4,1,
472,4,4,5,1,
473,4,5,2,0,
474,5,2,4,0,
475,2,4,2,1,
476,4,2,1,0,
477,2,1,0,-1,
478,1,0,3,1,
479,0,3,2,1,
480,3,2,2,-1,
481,2,2,3,1,
482,2,3,3,-1,
483,3,3,2,0,
484,3,2,0,0,
485,2,0,1,-1,
486,0,1,1,0,
487,1,1,0,0,
488,1,0,1,0,
489,0,1,5,-1,
490,1,5,4,-1,
491,5,4,5,0,
492,4,5,2,0,
493,5,2,3,1,
494,2,3,2,1,
495,3,2,2,0,
496,2,2,2,0,
497,2,2,0,-1,
498,2,0,3,1,
499,0,3,1,0,
500,3,1,4,-1,
501,1,4,2,1,
502,4,2,3,0,
503,2,3,2,1,
504,3,2,2,1,
505,2,2,3,1,
506,2,3,4,1,
507,3,4,3,1,
508,4,3,1,-1,
509,3,1,0,-1,
510,1,0,3,1,
511,0,3,3,1,
512,3,3,4,0,
513,3,4,2,1,
514,4,2,2,0,
515,2,2,5,-1,
516,2,5,5,-1,
517,5,5,3,1,
518,5,3,1,-1,
519,3,1,1,-1,
520,1,1,2,1,
521,1,2,3,-1,
522,2,3,2,1,
523,3,2,3,1,
524,2,3,3,1,
525,3,3,2,0,
526,3,2,3,1,
527,2,3,5,1,
528,3,5,2,-1,
529,5,2,3,1,
530,2,3,1,0,
531,3,1,2,1,
532,1,2,2,0,
533,2,2,3,-1,
534,2,3,2,0,
535,3,2,3,1,
536,2,3,5,-1,
537,3,5,0,-1,
538,5,0,2,1,
539,0,2,2,1,
540,2,2,3,1,
541,2,3,4,-1,
542,3,4,2,1,
543,4,2,2,0,
544,2,2,2,1,
545,2,2,0,-1,
546,2,0,1,0,
547,0,1,1,0,
548,1,1,3,1,
549,1,3,3,0,
550,3,3,2,1,
551,3,2,3,1,
552,2,3,4,1,
553,3,4,3,1,
554,4,3,1,0,
555,3,1,2,1,
556,1,2,5,-1,
557,2,5,0,-1,
558,5,0,5,-1,
559,0,5,3,0,
560,5,3,2,0,
561,3,2,3,1,
562,2,3,2,0,
563,3,2,4,-1,
564,2,4,3,1,
565,4,3,2,0,
566,3,2,3,1,
567,2,3,3,1,
568,3,3,0,1,
569,3,0,4,-1,
570,0,4,1,0,
571,4,1,2,0,
572,1,2,4,-1,
573,2,4,1,0,
574,4,1,2,1,
575,1,2,3,1,
576,2,3,4,-1,
577,3,4,3,1,
578,4,3,3,0,
579,3,3,1,0,
580,3,1,3,1,
581,1,3,4,-1,
582,3,4,4,1,
583,4,4,2,1,
584,4,2,4,-1,
585,2,4,1,0,
586,4,1,3,-1,
587,1,3,2,1,
588,3,2,1,-1,
589,2,1,5,-1,
590,1,5,5,1,
591,5,5,1,0,
592,5,1,2,1,
593,1,2,2,-1,
594,2,2,1,0,
595,2,1,3,0,
596,1,3,0,-1,
597,3,0,2,1,
598,0,2,5,-1,
599,2,5,2,-1,
600,5,2,3,1,
601,2,3,1,-1,
602,3,1,2,1,
603,1,2,4,-1,
604,2,4,5,-1,
605,4,5,5,-1,
606,5,5,5,-1,
607,5,5,4,-1,
608,5,4,2,1,
609,4,2,5,-1,
610,2,5,4,-1,
611,5,4,4,1,
612,4,4,3,1,
613,4,3,1,0,
614,3,1,2,1,
615,1,2,2,0,
616,2,2,1,0,
617,2,1,5,1,
618,1,5,3,-1,
619,5,3,4,-1,
620,3,4,4,-1,
621,4,4,5,-1,
622,4,5,2,1,
623,5,2,1,0,
624,2,1,3,1,
625,1,3,2,0,
626,3,2,4,-1,
627,2,4,2,1,
628,4,2,0,0,
629,2,0,4,1,
630,0,4,4,-1,
631,4,4,3,0,
632,4,3,5,-1,
633,3,5,2,1,
634,5,2,2,1,
635,2,2,4,-1,
636,2,4,2,1,
637,4,2,2,1,
638,2,2,3,1,
639,2,3,1,0,
640,3,1,5,-1,
641,1,5,2,1,
642,5,2,2,0,
643,2,2,2,-1,
644,2,2,2,1,
645,2,2,5,1,
646,2,5,3,1,
647,5,3,0,-1,
648,3,0,2,1,
649,0,2,4,-1,
650,2,4,3,0,
651,4,3,2,1,
652,3,2,4,-1,
653,2,4,2,1,
654,4,2,4,-1,
655,2,4,0,-1,
656,4,0,2,0,
657,0,2,2,1,
658,2,2,0,-1,
659,2,0,1,0,
660,0,1,3,1,
661,1,3,0,-1,
662,3,0,3,1,
663,0,3,2,1,
664,3,2,4,1,
665,2,4,0,0,
666,4,0,2,1,
667,0,2,4,-1,
668,2,4,2,1,
669,4,2,1,0,
670,2,1,2,1,
671,1,2,2,1,
672,2,2,3,1,
673,2,3,5,-1,
674,3,5,0,1,
675,5,0,5,-1,
676,0,5,3,0,
677,5,3,3,1,
678,3,3,1,1,
679,3,1,2,1,
680,1,2,3,1,
681,2,3,2,-1,
682,3,2,3,1,
683,2,3,0,0,
684,3,0,3,0,
685,0,3,4,0,
686,3,4,3,1,
687,4,3,0,-1,
688,3,0,1,0,
689,0,1,5,-1,
690,1,5,0,-1,
691,5,0,3,1,
692,0,3,4,-1,
693,3,4,1,0,
694,4,1,4,-1,
695,1,4,1,0,
696,4,1,5,-1,
697,1,5,2,1,
698,5,2,1,0,
699,2,1,1,0,
700,1,1,1,0,
701,1,1,4,-1,
702,1,4,1,0,
703,4,1,3,1,
704,1,3,2,1,
705,3,2,4,-1,
706,2,4,0,1,
707,4,0,2,1,
708,0,2,0,1,
709,2,0,4,-1,
710,0,4,1,0,
711,4,1,0,-1,
712,1,0,5,-1,
713,0,5,1,0,
714,5,1,4,-1,
715,1,4,4,-1,
716,4,4,1,0,
717,4,1,4,1,
718,1,4,3,0,
719,4,3,5,-1,
720,3,5,3,1,
