,s-3,s-2,s-1,a,r
398,4,0,2,9,1
399,0,2,9,1,-1
400,2,9,1,3,-1
401,9,1,3,11,-1
402,1,3,11,2,1
403,3,11,2,4,-1
404,11,2,4,3,1
405,2,4,3,10,-1
406,4,3,10,0,-1
407,3,10,0,5,-1
408,10,0,5,5,-1
409,0,5,5,13,0
410,5,5,13,0,-1
411,5,13,0,6,-1
412,13,0,6,6,-1
413,0,6,6,8,1
414,6,6,8,1,0
415,6,8,1,4,-1
416,8,1,4,11,-1
417,1,4,11,0,-1
418,4,11,0,5,-1
419,11,0,5,0,-1
420,0,5,0,3,-1
421,5,0,3,19,0
422,0,3,19,0,0
423,3,19,0,8,1
424,19,0,8,8,0
425,0,8,8,0,-1
426,8,8,0,6,-1
427,8,0,6,3,1
428,0,6,3,0,-1
429,6,3,0,4,-1
430,3,0,4,4,-1
431,0,4,4,0,-1
432,4,4,0,4,-1
433,4,0,4,11,-1
434,0,4,11,0,-1
435,4,11,0,5,-1
436,11,0,5,9,1
437,0,5,9,0,-1
438,5,9,0,5,-1
439,9,0,5,3,1
440,0,5,3,3,1
441,5,3,3,8,1
442,3,3,8,0,-1
443,3,8,0,4,-1
444,8,0,4,3,1
445,0,4,3,0,-1
446,4,3,0,3,1
447,3,0,3,10,1
448,0,3,10,0,-1
449,3,10,0,5,-1
450,10,0,5,3,1
451,0,5,3,0,-1
452,5,3,0,4,-1
453,3,0,4,17,-1
454,0,4,17,0,-1
455,4,17,0,8,1
456,17,0,8,5,-1
457,0,8,5,18,-1
458,8,5,18,5,-1
459,5,18,5,7,-1
460,18,5,7,6,1
461,5,7,6,1,0
462,7,6,1,4,-1
463,6,1,4,13,0
464,1,4,13,0,-1
465,4,13,0,6,-1
466,13,0,6,9,1
467,0,6,9,5,-1
468,6,9,5,3,1
469,9,5,3,3,1
470,5,3,3,1,0
471,3,3,1,1,-1
472,3,1,1,1,0
473,1,1,1,0,-1
474,1,1,0,0,0
475,1,0,0,0,-1
476,0,0,0,13,0
477,0,0,13,3,1
478,0,13,3,3,1
479,13,3,3,4,-1
480,3,3,4,0,0
481,3,4,0,1,0
482,4,0,1,0,-1
483,0,1,0,9,0
484,1,0,9,0,0
485,0,9,0,0,-1
486,9,0,0,0,-1
487,0,0,0,2,0
488,0,0,2,1,-1
489,0,2,1,0,-1
490,2,1,0,0,-1
491,1,0,0,0,0
492,0,0,0,0,-1
493,0,0,0,0,-1
494,0,0,0,0,-1
495,0,0,0,0,-1
496,0,0,0,0,-1
497,0,0,0,14,1
498,0,0,14,0,-1
499,0,14,0,0,0
500,14,0,0,0,-1
501,0,0,0,0,-1
502,0,0,0,0,-1
503,0,0,0,0,-1
504,0,0,0,0,-1
505,0,0,0,0,-1
506,0,0,0,0,-1
507,0,0,0,0,0
508,0,0,0,0,0
509,0,0,0,0,-1
510,0,0,0,16,1
511,0,0,16,14,0
512,0,16,14,0,0
513,16,14,0,0,0
514,14,0,0,0,-1
515,0,0,0,0,-1
516,0,0,0,0,-1
517,0,0,0,0,-1
518,0,0,0,0,0
519,0,0,0,13,0
520,0,0,13,3,1
521,0,13,3,0,0
522,13,3,0,0,0
523,3,0,0,0,-1
524,0,0,0,0,0
525,0,0,0,0,-1
526,0,0,0,0,-1
527,0,0,0,0,-1
528,0,0,0,14,1
529,0,0,14,0,0
530,0,14,0,0,0
531,14,0,0,0,0
532,0,0,0,0,0
533,0,0,0,0,0
534,0,0,0,0,-1
535,0,0,0,0,-1
536,0,0,0,0,-1
537,0,0,0,0,-1
538,0,0,0,0,-1
539,0,0,0,0,-1
540,0,0,0,0,0
541,0,0,0,0,-1
542,0,0,0,11,-1
543,0,0,11,5,-1
544,0,11,5,0,-1
545,11,5,0,0,-1
546,5,0,0,2,1
547,0,0,2,0,-1
548,0,2,0,5,-1
549,2,0,5,0,-1
550,0,5,0,12,-1
551,5,0,12,0,0
552,0,12,0,0,-1
553,12,0,0,3,0
554,0,0,3,0,-1
555,0,3,0,0,0
556,3,0,0,19,1
557,0,0,19,14,1
558,0,19,14,2,1
559,19,14,2,19,0
560,14,2,19,16,1
561,2,19,16,0,-1
562,19,16,0,0,0
563,16,0,0,0,-1
564,0,0,0,19,-1
565,0,0,19,15,1
566,0,19,15,0,-1
567,19,15,0,5,0
568,15,0,5,7,0
569,0,5,7,0,-1
570,5,7,0,0,-1
571,7,0,0,19,0
572,0,0,19,19,0
573,0,19,19,17,-1
574,19,19,17,0,0
575,19,17,0,0,1
576,17,0,0,10,-1
577,0,0,10,0,0
578,0,10,0,0,-1
579,10,0,0,19,0
580,0,0,19,15,1
581,0,19,15,3,1
582,19,15,3,0,-1
