,s-2,s-1,a,r,none
447,2,1,2,1,
448,1,2,1,0,
449,2,1,2,-1,
450,1,2,1,0,
451,2,1,2,1,
452,1,2,1,-1,
453,2,1,2,-1,
454,1,2,1,0,
455,2,1,2,1,
456,1,2,1,0,
457,2,1,4,-1,
458,1,4,0,0,
459,4,0,4,-1,
460,0,4,3,-1,
461,4,3,3,1,
462,3,3,2,1,
463,3,2,2,1,
464,2,2,4,-1,
465,2,4,2,1,
466,4,2,3,1,
467,2,3,0,0,
468,3,0,0,0,
469,0,0,2,1,
470,0,2,2,0,
471,2,2,2,1,
472,2,2,2,-1,
473,2,2,2,0,
474,2,2,2,1,
475,2,2,0,-1,
476,2,0,2,1,
477,0,2,2,-1,
478,2,2,0,1,
479,2,0,2,1,
480,0,2,2,1,
481,2,2,2,1,
482,2,2,2,0,
483,2,2,2,0,
484,2,2,2,-1,
485,2,2,3,0,
486,2,3,1,0,
487,3,1,2,1,
488,1,2,1,0,
489,2,1,3,1,
490,1,3,1,0,
491,3,1,2,-1,
492,1,2,1,-1,
493,2,1,2,1,
494,1,2,1,0,
495,2,1,2,1,
496,1,2,1,0,
497,2,1,2,1,
498,1,2,1,0,
499,2,1,5,-1,
500,1,5,5,-1,
501,5,5,3,1,
502,5,3,3,1,
503,3,3,3,-1,
504,3,3,3,-1,
505,3,3,2,1,
506,3,2,2,1,
507,2,2,2,-1,
508,2,2,2,0,
509,2,2,1,0,
510,2,1,2,1,
511,1,2,1,1,
512,2,1,1,0,
513,1,1,1,0,
514,1,1,2,0,
515,1,2,1,0,
516,2,1,0,-1,
517,1,0,2,1,
518,0,2,2,-1,
519,2,2,0,-1,
520,2,0,1,0,
521,0,1,2,1,
522,1,2,1,0,
523,2,1,2,1,
524,1,2,1,0,
525,2,1,2,1,
526,1,2,0,-1,
527,2,0,2,0,
528,0,2,2,1,
529,2,2,1,0,
530,2,1,2,0,
531,1,2,2,1,
532,2,2,2,1,
533,2,2,2,0,
534,2,2,2,1,
535,2,2,1,0,
536,2,1,2,1,
537,1,2,1,0,
538,2,1,2,0,
539,1,2,1,0,
540,2,1,2,1,
541,1,2,1,0,
542,2,1,2,0,
543,1,2,5,-1,
544,2,5,2,-1,
545,5,2,2,1,
546,2,2,2,1,
547,2,2,2,-1,
548,2,2,2,1,
549,2,2,2,0,
550,2,2,1,0,
551,2,1,2,1,
552,1,2,1,-1,
553,2,1,2,1,
554,1,2,1,0,
555,2,1,2,0,
556,1,2,1,0,
557,2,1,2,1,
558,1,2,1,-1,
559,2,1,2,1,
560,1,2,1,0,
561,2,1,2,0,
562,1,2,1,0,
563,2,1,2,1,
564,1,2,1,-1,
565,2,1,2,0,
566,1,2,1,0,
567,2,1,2,-1,
568,1,2,1,0,
569,2,1,2,-1,
570,1,2,1,-1,
571,2,1,2,0,
572,1,2,1,-1,
573,2,1,2,0,
574,1,2,1,-1,
575,2,1,2,1,
576,1,2,1,-1,
577,2,1,2,-1,
578,1,2,1,0,
579,2,1,2,1,
